# X , Y , E , DX
1
0.00130756,0,0,0
0.00217744,0,0,0
0.00304732,0,0,0
0.0039172,0,0,0
0.00478707,0,0,0
0.00565695,0,0,0
0.00652683,0,0,0.000466191
0.00739671,28.8596,0.329347,0.000946401
0.00826659,25.6254,0.113432,0.000958773
0.00913647,19.0273,0.095324,0.00095869
0.0100063,15.0979,0.0591986,0.000961266
0.0108762,12.0713,0.0425362,0.000967683
0.0117461,7.4276,0.0337534,0.000969652
0.012616,3.88238,0.0234692,0.000968
0.0134859,2.80614,0.0195656,0.000969368
0.0143557,2.08334,0.0173391,0.000967586
0.0152256,1.61103,0.0138518,0.000969391
0.0160955,1.41099,0.0127603,0.000970496
0.0169654,1.16169,0.0115841,0.000969094
0.0178353,1.03558,0.0103147,0.000972382
0.0187051,0.872093,0.00939426,0.000972647
0.019575,0.713289,0.00822041,0.000972132
0.0204449,0.604694,0.00732295,0.000974684
0.0213148,0.527931,0.00680439,0.000974208
0.0221847,0.479598,0.00628826,0.000975718
0.0230545,0.435045,0.0058867,0.000977815
0.0239244,0.409529,0.00570567,0.0009775
0.0247943,0.39593,0.00544536,0.000979366
0.0256642,0.367917,0.00518007,0.00098064
0.026534,0.351423,0.00494203,0.000981556
0.0274039,0.335463,0.00481527,0.000983462
0.0282738,0.310404,0.00456546,0.00098449
0.0291437,0.300898,0.00449156,0.000986036
0.0300136,0.266273,0.00425208,0.000986731
0.0308834,0.252436,0.00404633,0.000987151
0.0317533,0.239793,0.00390731,0.000989176
0.0326232,0.220714,0.00364588,0.000990998
0.0334931,0.223201,0.00361486,0.000992271
0.034363,0.220488,0.00358685,0.000993531
0.0352328,0.214999,0.00344599,0.000995433
0.0361027,0.214959,0.00339482,0.000997857
0.0369726,0.20804,0.00336181,0.000999508
0.0378425,0.20506,0.00326834,0.00100041
0.0387124,0.202793,0.00328205,0.00100196
0.0395822,0.197777,0.00316589,0.00100391
0.0404521,0.193972,0.00311559,0.00100575
0.041322,0.193324,0.003036,0.0010073
0.0421919,0.183635,0.00295643,0.00100915
0.0430618,0.189018,0.00290512,0.00101137
0.0439316,0.184364,0.00295176,0.00101348
0.0448015,0.181667,0.00282541,0.00101608
0.0456714,0.184287,0.00288013,0.00101722
0.0465413,0.179558,0.00278517,0.00101838
0.0474111,0.18038,0.00276994,0.00102089
0.048281,0.178074,0.00271758,0.00102322
0.0491509,0.179827,0.00272867,0.00102585
0.0500208,0.181773,0.00270865,0.00102792
0.0508907,0.181115,0.00269611,0.00102989
0.0517605,0.183823,0.00271464,0.00103203
0.0526304,0.178192,0.00264277,0.00103393
0.0535003,0.175407,0.00260878,0.0010359
0.0543702,0.182495,0.00264016,0.00103796
0.0552401,0.174952,0.00253531,0.00104045
0.0561099,0.178513,0.00253262,0.00104284
0.0569798,0.178618,0.00250978,0.00104499
0.0578497,0.180471,0.00247893,0.0010473
0.0587196,0.1804,0.0024706,0.00104973
0.0595895,0.17512,0.00241502,0.00105266
0.0604593,0.174881,0.00238395,0.00105566
0.0613292,0.182821,0.00243086,0.00105813
0.0621991,0.174772,0.00234196,0.00106063
0.063069,0.175742,0.00233414,0.00106321
0.0639388,0.178209,0.0023437,0.00106572
0.0648087,0.17661,0.00230658,0.00106878
0.0656786,0.172193,0.00227547,0.00107162
0.0665485,0.178152,0.00228687,0.00107387
0.0674184,0.177798,0.00226846,0.00107678
0.0682882,0.181333,0.00227159,0.00107986
0.0691581,0.178624,0.00224266,0.00108279
0.070028,0.181416,0.00224035,0.00108558
0.0708979,0.183241,0.00223784,0.00108803
0.0717678,0.178844,0.00220629,0.00109074
0.0726376,0.180599,0.00218615,0.00109381
0.0735075,0.179506,0.00219037,0.00109667
0.0743774,0.176537,0.00215855,0.00109934
0.0752473,0.176103,0.00212328,0.00110256
0.0761172,0.177077,0.00212471,0.00110558
0.076987,0.179626,0.00212893,0.00110874
0.0778569,0.179588,0.00210942,0.00111184
0.0787268,0.177794,0.00210077,0.00111501
0.0795967,0.179896,0.0020806,0.00111849
0.0804665,0.180982,0.00207869,0.00112119
0.0813364,0.179614,0.00207823,0.00112404
0.0822063,0.182256,0.00206949,0.00112721
0.0830762,0.181938,0.00201616,0.00113064
0.0839461,0.179618,0.00205201,0.0011344
0.0848159,0.18326,0.00202254,0.00113748
0.0856858,0.181598,0.0020174,0.00114082
0.0865557,0.18186,0.00197595,0.00114434
0.0874256,0.183049,0.00202277,0.00114767
0.0882955,0.183007,0.00198545,0.00115076
0.0891653,0.183855,0.00198493,0.0011538
0.0900352,0.180137,0.00193509,0.00115739
0.0909051,0.17838,0.00194405,0.00116088
0.091775,0.183148,0.00195581,0.00116464
0.0926449,0.183727,0.00193461,0.00116802
0.0935147,0.182381,0.00192697,0.00117151
0.0943846,0.184211,0.00192225,0.00117527
0.0952545,0.183732,0.00191972,0.00117858
0.0961244,0.181506,0.00190064,0.0011823
0.0969942,0.181347,0.00187469,0.00118602
0.0978641,0.180557,0.00188218,0.0011895
0.098734,0.181356,0.00187002,0.00119295
0.0996039,0.183501,0.00188596,0.00119677
0.100474,0.183497,0.00187139,0.00120054
0.101344,0.182008,0.00186541,0.00120445
0.102214,0.183353,0.00186747,0.00120843
0.103083,0.182054,0.00185624,0.00121242
0.103953,0.182842,0.00187957,0.00121709
0.104823,0.180986,0.00186943,0.00122131
0.105693,0.183587,0.00189527,0.00122526
0.106563,0.181354,0.0018928,0.00122944
